line,block,cross,male,female,m_idd
1,1,HmHf,86,75,100
1,1,LmLf,10,9,100
1,1,HmLf,43,42,99
1,1,LmHf,61,52,100
2,2,HmHf,81,71,100
2,2,LmLf,48,36,100
2,2,HmLf,77,66,99
2,2,LmHf,52,50,98
3,3,HmHf,95,94,98
3,3,LmLf,37,45,100
3,3,HmLf,62,74,96
3,3,LmHf,75,77,97
4,4,HmHf,81,79,100
4,4,LmLf,29,38,100
4,4,HmLf,79,85,100
4,4,LmHf,67,78,98
5,1,HmHf,62,71,98
5,1,LmLf,11,11,100
5,1,HmLf,32,24,99
5,1,LmHf,37,49,99
6,2,HmHf,93,93,97
6,2,LmLf,35,37,98
6,2,HmLf,78,72,100
6,2,LmHf,67,62,98
7,3,HmHf,77,73,100
7,3,LmLf,58,51,96
7,3,HmLf,38,41,100
7,3,LmHf,58,59,100
8,4,HmHf,95,85,100
8,4,LmLf,32,30,99
8,4,HmLf,71,65,100
8,4,LmHf,69,60,100
9,5,HmHf,95,93,99
9,5,LmLf,50,56,100
9,5,HmLf,68,60,100
9,5,LmHf,92,92,98
10,6,HmHf,86,83,100
10,6,LmLf,37,28,100
10,6,HmLf,75,75,100
10,6,LmHf,47,47,100
11,7,HmHf,97,96,100
11,7,LmLf,48,25,100
11,7,HmLf,53,52,100
11,7,LmHf,76,73,100
12,8,HmHf,91,87,100
12,8,LmLf,35,30,100
12,8,HmLf,57,59,100
12,8,LmHf,72,76,100
13,5,HmHf,100,91,100
13,5,LmLf,53,47,99
13,5,HmLf,74,87,97
13,6,LmHf,61,75,100
14,6,HmHf,93,94,100
14,6,LmLf,51,72,100
14,6,HmLf,79,86,100
14,7,LmHf,87,83,100
15,7,HmHf,98,98,100
15,7,LmLf,50,58,100
15,7,HmLf,85,84,100
15,8,LmHf,87,81,100
16,8,HmHf,88,88,100
16,8,LmLf,26,10,100
16,8,HmLf,52,64,100
16,3,LmHf,73,75,100
