gen,block,line,level,disp,sex,measurement
0,1,1,high,3,f,17
0,1,1,high,3,m,13
0,1,1,low,0,f,11
0,1,1,low,0,m,10
0,1,2,high,3,f,15
0,1,2,high,3,m,15
0,1,2,low,0,f,13
0,1,2,low,0,m,8
0,1,3,high,3,f,17
0,1,3,high,3,m,13
0,1,3,low,0,f,16
0,1,3,low,0,m,10
0,1,4,high,3,f,13
0,1,4,high,3,m,16
0,1,4,low,0,f,15
0,1,4,low,0,m,11
0,1,5,high,3,f,14
0,1,5,high,3,m,16
0,1,5,low,0,f,18
0,1,5,low,0,m,10
0,1,6,high,3,f,15
0,1,6,high,3,m,14
0,1,6,low,0,f,14
0,1,6,low,0,m,9
0,1,7,high,3,f,16
0,1,7,high,3,m,14
0,1,7,low,0,f,18
0,1,7,low,0,m,8
0,1,8,high,3,f,18
0,1,8,high,3,m,12
0,1,8,low,0,f,15
0,1,8,low,0,m,10
0,2,9,high,3,f,16
0,2,9,high,3,m,13
0,2,9,low,0,f,10
0,2,9,low,0,m,5
0,2,10,high,3,f,17
0,2,10,high,3,m,2
0,2,10,low,0,f,10
0,2,10,low,0,m,4
0,2,11,high,3,f,18
0,2,11,high,3,m,13
0,2,11,low,0,f,6
0,2,11,low,0,m,6
0,2,12,high,3,f,14
0,2,12,high,3,m,16
0,2,12,low,0,f,11
0,2,12,low,0,m,5
0,2,13,high,3,f,19
0,2,13,high,3,m,11
0,2,13,low,0,f,15
0,2,13,low,0,m,6
0,2,14,high,3,f,19
0,2,14,high,3,m,11
0,2,14,low,0,f,14
0,2,14,low,0,m,7
0,2,15,high,3,f,14
0,2,15,high,3,m,16
0,2,15,low,0,f,18
0,2,15,low,0,m,7
0,2,16,high,3,f,16
0,2,16,high,3,m,14
0,2,16,low,0,f,16
0,2,16,low,0,m,8
1,1,1,high,3,f,15
1,1,1,high,3,m,15
1,1,1,low,0,f,16
1,1,1,low,0,m,14
1,1,2,high,3,f,14
1,1,2,high,3,m,16
1,1,2,low,0,f,27
1,1,2,low,0,m,3
1,1,3,high,3,f,16
1,1,3,high,3,m,14
1,1,3,low,0,f,17
1,1,3,low,0,m,13
1,1,4,high,3,f,12
1,1,4,high,3,m,18
1,1,4,low,0,f,12
1,1,4,low,0,m,11
1,1,5,high,3,f,15
1,1,5,high,3,m,15
1,1,5,low,0,f,20
1,1,5,low,0,m,10
1,1,6,high,3,f,15
1,1,6,high,3,m,15
1,1,6,low,0,f,16
1,1,6,low,0,m,14
1,1,7,high,3,f,16
1,1,7,high,3,m,14
1,1,7,low,0,f,12
1,1,7,low,0,m,18
1,1,8,high,3,f,16
1,1,8,high,3,m,14
1,1,8,low,0,f,13
1,1,8,low,0,m,17
1,2,9,high,3,f,12
1,2,9,high,3,m,16
1,2,9,low,0,f,na
1,2,9,low,0,m,na
1,2,10,high,3,f,17
1,2,10,high,3,m,13
1,2,10,low,0,f,16
1,2,10,low,0,m,14
1,2,11,high,3,f,14
1,2,11,high,3,m,15
1,2,11,low,0,f,16
1,2,11,low,0,m,12
1,2,12,high,3,f,14
1,2,12,high,3,m,16
1,2,12,low,0,f,18
1,2,12,low,0,m,8
1,2,13,high,3,f,16
1,2,13,high,3,m,14
1,2,13,low,0,f,20
1,2,13,low,0,m,11
1,2,14,high,3,f,11
1,2,14,high,3,m,19
1,2,14,low,0,f,9
1,2,14,low,0,m,14
1,2,15,high,3,f,13
1,2,15,high,3,m,17
1,2,15,low,0,f,10
1,2,15,low,0,m,6
1,2,16,high,3,f,18
1,2,16,high,3,m,12
1,2,16,low,0,f,6
1,2,16,low,0,m,9
2,1,1,high,3,f,13
2,1,1,high,3,m,17
2,1,1,low,0,f,16
2,1,1,low,0,m,14
