line,block,disp
87,1,143
52,1,117
23,1,85
80,1,182
92,1,104
86,1,150
63,1,21
22,1,102
71,1,151
12,1,137
82,1,153
93,1,169
70,1,183
32,1,179
100,1,100
27,1,56
5,2,21
28,2,138
38,2,10
83,2,35
9,2,124
13,2,119
99,2,44
31,2,93
3,2,31
85,2,5
72,2,29
6,2,25
15,2,114
61,2,84
73,2,172
4,2,153
40,3,73
35,3,181
7,3,145
39,3,117
60,3,70
62,3,153
41,3,49
21,3,25
17,3,75
44,3,24
101,3,41
25,3,14
20,3,49
89,3,101
53,3,111
38,3,10
18,4,182
59,4,133
75,4,166
79,4,30
51,4,188
37,4,1
10,4,0
54,4,133
55,4,95
98,4,47
68,4,91
47,4,91
11,4,77
36,4,6
110,4,51
111,4,65
